Streamer,Unique Viewers,Community,Shared Viewers with Elajjaz,Shared Viewers of Streamer with Elajjaz %,Shared Viewers of Elajjaz with Streamer in %
Distortion2,55838,3,14311,25.6%,25.9%
CohhCarnage,193885,3,11734,6.1%,21.2%
sodapoppin,302958,14,9103,3.0%,16.5%
LIRIK,224726,3,8789,3.9%,15.9%
xQcOW,1056332,7,8521,0.8%,15.4%
Asmongold,449630,14,7946,1.8%,14.4%
forsen,201636,7,6825,3.4%,12.3%
AdmiralBahroo,90856,3,6381,7.0%,11.5%
shroud,739054,18,5902,0.8%,10.7%
The_Happy_Hob,34579,3,5746,16.6%,10.4%
Quin69,121264,14,5611,4.6%,10.2%
ludwig,1346223,51,5371,0.4%,9.7%
MOONMOON,149467,57,5359,3.6%,9.7%
Fextralife,265951,3,5002,1.9%,9.0%
summit1g,535610,57,4644,0.9%,8.4%
LEC,594091,10,4624,0.8%,8.4%
Maximilian_DOOD,95224,3,4531,4.8%,8.2%
Mizkif,382263,7,4413,1.2%,8.0%
loltyler1,495334,10,3783,0.8%,6.8%
ESL_CSGO,728758,58,3767,0.5%,6.8%
DansGaming,44130,3,3694,8.4%,6.7%
CobaltStreak,51938,3,3593,6.9%,6.5%
LobosJr,16536,3,3107,18.8%,5.6%
LCS,367151,10,3038,0.8%,5.5%
MANvsGAME,22445,3,3006,13.4%,5.4%
pokelawls,148947,7,3006,2.0%,5.4%
AvoidingThePuddle,31457,3,2901,9.2%,5.2%
EsfandTV,173029,14,2780,1.6%,5.0%
HasanAbi,265332,57,2777,1.0%,5.0%
nl_Kripp,120034,23,2643,2.2%,4.8%
moistcr1tikal,207713,7,2640,1.3%,4.8%
Calebhart42,26529,3,2511,9.5%,4.5%
Bawkbasoup,20064,3,2466,12.3%,4.5%
39daph,79634,2,2422,3.0%,4.4%
Thijs,129667,23,2296,1.8%,4.2%
Amouranth,504541,8,2275,0.5%,4.1%
Northernlion,69465,3,2247,3.2%,4.1%
GamesDoneQuick,46048,3,2101,4.6%,3.8%
Nmplol,122220,7,2092,1.7%,3.8%
NymN,44434,7,2062,4.6%,3.7%
Vinesauce,50542,3,1890,3.7%,3.4%
